Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Kalkulator,,,,2019-11-06 14:44:58,2019-11-06 14:46:45,1m - 46.386s,INCOMPLETE
,,,,,,,
Test Cases/Kalkulator/Kalkulator,,,,2019-11-06 14:45:00,2019-11-06 14:46:45,1m - 44.791s,PASSED
Start listener action : executeRows,,,,2019-11-06 14:45:00,2019-11-06 14:45:02,2.279s,PASSED
"startApplication(""C:/Users/Marvin/git/ACCBid-Mobile/accbid.apk"", false)",,,,2019-11-06 14:45:04,2019-11-06 14:46:09,1m - 5.275s,PASSED
"tap(findTestObject(""Kalkulator/BTN_Kalkulator""), 0)",,,,2019-11-06 14:46:09,2019-11-06 14:46:16,7.018s,PASSED
"setText(findTestObject(""Kalkulator/HargaUnit""), HargaUnit, 0)",,,,2019-11-06 14:46:16,2019-11-06 14:46:18,2.437s,PASSED
"if (varPeriode == ""12"")",,,,2019-11-06 14:46:18,2019-11-06 14:46:18,0.002s,PASSED
"else if (varPeriode == ""24"")",,,,2019-11-06 14:46:18,2019-11-06 14:46:18,0.001s,PASSED
"else if (varPeriode == ""36"")",,,,2019-11-06 14:46:18,2019-11-06 14:46:19,0.338s,PASSED
"setText(findTestObject(""Kalkulator/UangMuka""), UangMuka, 0)",,,,2019-11-06 14:46:19,2019-11-06 14:46:21,2.784s,PASSED
"if (verifyElementVisible(findTestObject(""Kalkulator/MinimalUangMuka""), 3, OPTIONAL))",,,,2019-11-06 14:46:21,2019-11-06 14:46:26,5.026s,PASSED
else,,,,2019-11-06 14:46:26,2019-11-06 14:46:45,18.107s,PASSED
Start listener action : addFailedTCToList,,,,2019-11-06 14:46:45,2019-11-06 14:46:45,0.008s,PASSED
