Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TOPUP,,,,2019-10-31 10:59:51,2019-10-31 11:01:17,1m - 25.961s,INCOMPLETE
,,,,,,,
Test Cases/TopUP/TopUP,,,,2019-10-31 10:59:53,2019-10-31 11:01:17,1m - 24.673s,PASSED
"startApplication(""C:/Users/Marvin/git/ACCBid-Mobile/accbid.apk"", false)",,,,2019-10-31 10:59:54,2019-10-31 11:00:37,43.225s,PASSED
getDeviceHeight(),,,,2019-10-31 11:00:37,2019-10-31 11:00:38,1.362s,PASSED
getDeviceWidth(),,,,2019-10-31 11:00:38,2019-10-31 11:00:39,0.795s,PASSED
"tap(findTestObject(""TopUP/BTN_Deposit""), 0)",,,,2019-10-31 11:00:39,2019-10-31 11:00:44,4.618s,PASSED
"tap(findTestObject(""TopUP/Btn_TopUP""), 0)",,,,2019-10-31 11:00:44,2019-10-31 11:00:49,5.270s,PASSED
"setText(findTestObject(""TopUP/InputNominal""), varTopUP, 0)",,,,2019-10-31 11:00:49,2019-10-31 11:00:51,1.727s,PASSED
"tap(findTestObject(""TopUP/DropDownBank""), 0)",,,,2019-10-31 11:00:51,2019-10-31 11:00:53,2.209s,PASSED
"tap(findTestObject(""Kalkulator/Click"", [""text"":varBank]), 0)",,,,2019-10-31 11:00:53,2019-10-31 11:00:55,2.412s,PASSED
"tap(findTestObject(""TopUP/BtnLanjut""), 0)",,,,2019-10-31 11:00:55,2019-10-31 11:00:57,1.990s,PASSED
"tap(findTestObject(""TopUP/Btn_View""), 0)",,,,2019-10-31 11:00:57,2019-10-31 11:01:06,8.439s,PASSED
"tap(findTestObject(""TopUP/CloseBtn""), 0)",,,,2019-10-31 11:01:06,2019-10-31 11:01:08,2.275s,PASSED
"tap(findTestObject(""TopUP/BankTransferDrop""), 0)",,,,2019-10-31 11:01:08,2019-10-31 11:01:11,2.356s,PASSED
"tap(findTestObject(""TopUP/BCAPaymentButton""), 0)",,,,2019-10-31 11:01:11,2019-10-31 11:01:14,3.556s,PASSED
"ScrollUpDown.UpDown(52, 1891, 52, 1891)",,,,2019-10-31 11:01:14,2019-10-31 11:01:17,3.254s,PASSED
