Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Kalkulator,,,,2019-11-07 08:16:19,2019-11-07 08:18:43,2m - 23.931s,INCOMPLETE
,,,,,,,
Test Cases/Kalkulator/Kalkulator,,,,2019-11-07 08:16:20,2019-11-07 08:17:48,1m - 28.136s,PASSED
Start listener action : executeRows,,,,2019-11-07 08:16:21,2019-11-07 08:16:23,2.196s,PASSED
"startApplication(""C:/Users/Marvin/git/ACCBid-Mobile/accbid.apk"", false)",,,,2019-11-07 08:16:24,2019-11-07 08:17:10,46.334s,PASSED
"tap(findTestObject(""Kalkulator/BTN_Kalkulator""), 0)",,,,2019-11-07 08:17:10,2019-11-07 08:17:19,9.027s,PASSED
"setText(findTestObject(""Kalkulator/HargaUnit""), HargaUnit, 0)",,,,2019-11-07 08:17:19,2019-11-07 08:17:22,2.863s,PASSED
"if (varPeriode == ""12"")",,,,2019-11-07 08:17:22,2019-11-07 08:17:22,0.002s,PASSED
"else if (varPeriode == ""24"")",,,,2019-11-07 08:17:22,2019-11-07 08:17:22,0.001s,PASSED
"else if (varPeriode == ""36"")",,,,2019-11-07 08:17:22,2019-11-07 08:17:22,0.343s,PASSED
"setText(findTestObject(""Kalkulator/UangMuka""), UangMukaPersen, 0)",,,,2019-11-07 08:17:22,2019-11-07 08:17:25,2.686s,PASSED
"if (verifyElementVisible(findTestObject(""Kalkulator/MinimalUangMuka""), 3, OPTIONAL))",,,,2019-11-07 08:17:25,2019-11-07 08:17:30,4.959s,PASSED
else,,,,2019-11-07 08:17:30,2019-11-07 08:17:48,18.275s,PASSED
"switch (""Result"")",,,,2019-11-07 08:17:48,2019-11-07 08:17:48,0.000s,PASSED
Start listener action : addFailedTCToList,,,,2019-11-07 08:17:48,2019-11-07 08:17:48,0.000s,PASSED
,,,,,,,
Test Cases/Kalkulator/Kalkulator,,,,2019-11-07 08:17:49,2019-11-07 08:18:43,53.873s,FAILED
Start listener action : executeRows,,,,2019-11-07 08:17:49,2019-11-07 08:17:49,0.390s,PASSED
"startApplication(""C:/Users/Marvin/git/ACCBid-Mobile/accbid.apk"", false)",,,,2019-11-07 08:17:49,2019-11-07 08:18:14,24.344s,PASSED
"tap(findTestObject(""Kalkulator/BTN_Kalkulator""), 0)",,,,2019-11-07 08:18:14,2019-11-07 08:18:33,19.807s,PASSED
"setText(findTestObject(""Kalkulator/HargaUnit""), HargaUnit, 0)",,,,2019-11-07 08:18:33,2019-11-07 08:18:36,2.908s,PASSED
"if (varPeriode == ""12"")",,,,2019-11-07 08:18:36,2019-11-07 08:18:36,0.003s,PASSED
"else if (varPeriode == ""24"")",,,,2019-11-07 08:18:36,2019-11-07 08:18:36,0.000s,PASSED
"else if (varPeriode == ""36"")",,,,2019-11-07 08:18:36,2019-11-07 08:18:36,0.000s,PASSED
"else if (varPeriode == ""48"")",,,,2019-11-07 08:18:36,2019-11-07 08:18:36,0.000s,PASSED
"else if (varPeriode == ""60"")",,,,2019-11-07 08:18:36,2019-11-07 08:18:37,0.387s,PASSED
"setText(findTestObject(""Kalkulator/UangMuka""), UangMukaPersen, 0)",,,,2019-11-07 08:18:37,2019-11-07 08:18:39,2.621s,PASSED
"if (verifyElementVisible(findTestObject(""Kalkulator/MinimalUangMuka""), 3, OPTIONAL))",,,,2019-11-07 08:18:39,2019-11-07 08:18:43,3.216s,PASSED
Start listener action : addFailedTCToList,,,,2019-11-07 08:18:43,2019-11-07 08:18:43,0.000s,PASSED
