Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Penarikan,,,,2019-11-06 16:30:36,2019-11-06 16:34:58,4m - 21.816s,INCOMPLETE
,,,,,,,
Test Cases/TopUP/Penarikan,,,,2019-11-06 16:30:38,2019-11-06 16:31:58,1m - 19.955s,PASSED
Start listener action : executeRows,,,,2019-11-06 16:30:38,2019-11-06 16:30:40,2.194s,PASSED
"startApplication(""C:/Users/Marvin/git/ACCBid-Mobile/accbid.apk"", false)",,,,2019-11-06 16:30:41,2019-11-06 16:31:30,48.977s,PASSED
"tap(findTestObject(""TopUP/BTN_Deposit""), 0)",,,,2019-11-06 16:31:30,2019-11-06 16:31:38,7.934s,PASSED
"tap(findTestObject(""TopUP/Penarikan/Btn_Penarikan""), 0)",,,,2019-11-06 16:31:38,2019-11-06 16:31:42,3.212s,PASSED
"setText(findTestObject(""TopUP/Penarikan/Nominal""), Nominal, 0)",,,,2019-11-06 16:31:42,2019-11-06 16:31:43,1.719s,PASSED
"if (verifyElementVisible(findTestObject(""TopUP/Penarikan/PopUpKelipatan""), 3, OPTIONAL))",,,,2019-11-06 16:31:43,2019-11-06 16:31:48,4.742s,PASSED
else,,,,2019-11-06 16:31:48,2019-11-06 16:31:58,9.649s,PASSED
"switch (""Result"")",,,,2019-11-06 16:31:58,2019-11-06 16:31:58,0.001s,PASSED
Start listener action : addFailedTCToList,,,,2019-11-06 16:31:58,2019-11-06 16:31:58,0.004s,PASSED
,,,,,,,
Test Cases/TopUP/Penarikan,,,,2019-11-06 16:31:58,2019-11-06 16:33:00,1m - 2.512s,PASSED
Start listener action : executeRows,,,,2019-11-06 16:31:58,2019-11-06 16:31:58,0.147s,PASSED
"startApplication(""C:/Users/Marvin/git/ACCBid-Mobile/accbid.apk"", false)",,,,2019-11-06 16:31:58,2019-11-06 16:32:33,34.761s,PASSED
"tap(findTestObject(""TopUP/BTN_Deposit""), 0)",,,,2019-11-06 16:32:33,2019-11-06 16:32:41,7.872s,PASSED
"tap(findTestObject(""TopUP/Penarikan/Btn_Penarikan""), 0)",,,,2019-11-06 16:32:41,2019-11-06 16:32:44,3.431s,PASSED
"setText(findTestObject(""TopUP/Penarikan/Nominal""), Nominal, 0)",,,,2019-11-06 16:32:44,2019-11-06 16:32:46,1.637s,PASSED
"if (verifyElementVisible(findTestObject(""TopUP/Penarikan/PopUpKelipatan""), 3, OPTIONAL))",,,,2019-11-06 16:32:46,2019-11-06 16:32:51,4.783s,PASSED
else,,,,2019-11-06 16:32:51,2019-11-06 16:33:00,9.736s,PASSED
"switch (""Result"")",,,,2019-11-06 16:33:00,2019-11-06 16:33:00,0.000s,PASSED
Start listener action : addFailedTCToList,,,,2019-11-06 16:33:00,2019-11-06 16:33:00,0.001s,PASSED
,,,,,,,
Test Cases/TopUP/Penarikan,,,,2019-11-06 16:33:01,2019-11-06 16:33:54,53.187s,PASSED
Start listener action : executeRows,,,,2019-11-06 16:33:01,2019-11-06 16:33:01,0.078s,PASSED
"startApplication(""C:/Users/Marvin/git/ACCBid-Mobile/accbid.apk"", false)",,,,2019-11-06 16:33:01,2019-11-06 16:33:39,37.765s,PASSED
"tap(findTestObject(""TopUP/BTN_Deposit""), 0)",,,,2019-11-06 16:33:39,2019-11-06 16:33:45,6.383s,PASSED
"tap(findTestObject(""TopUP/Penarikan/Btn_Penarikan""), 0)",,,,2019-11-06 16:33:45,2019-11-06 16:33:50,4.593s,PASSED
"setText(findTestObject(""TopUP/Penarikan/Nominal""), Nominal, 0)",,,,2019-11-06 16:33:50,2019-11-06 16:33:52,1.969s,PASSED
"if (verifyElementVisible(findTestObject(""TopUP/Penarikan/PopUpKelipatan""), 3, OPTIONAL))",,,,2019-11-06 16:33:52,2019-11-06 16:33:54,2.212s,PASSED
"switch (""Result"")",,,,2019-11-06 16:33:54,2019-11-06 16:33:54,0.000s,PASSED
Start listener action : addFailedTCToList,,,,2019-11-06 16:33:54,2019-11-06 16:33:54,0.000s,PASSED
,,,,,,,
Test Cases/TopUP/Penarikan,,,,2019-11-06 16:33:54,2019-11-06 16:34:58,1m - 4.147s,PASSED
Start listener action : executeRows,,,,2019-11-06 16:33:54,2019-11-06 16:33:54,0.119s,PASSED
"startApplication(""C:/Users/Marvin/git/ACCBid-Mobile/accbid.apk"", false)",,,,2019-11-06 16:33:54,2019-11-06 16:34:29,34.825s,PASSED
"tap(findTestObject(""TopUP/BTN_Deposit""), 0)",,,,2019-11-06 16:34:29,2019-11-06 16:34:39,9.755s,PASSED
"tap(findTestObject(""TopUP/Penarikan/Btn_Penarikan""), 0)",,,,2019-11-06 16:34:39,2019-11-06 16:34:42,3.419s,PASSED
"setText(findTestObject(""TopUP/Penarikan/Nominal""), Nominal, 0)",,,,2019-11-06 16:34:42,2019-11-06 16:34:44,1.903s,PASSED
"if (verifyElementVisible(findTestObject(""TopUP/Penarikan/PopUpKelipatan""), 3, OPTIONAL))",,,,2019-11-06 16:34:44,2019-11-06 16:34:49,4.559s,PASSED
else,,,,2019-11-06 16:34:49,2019-11-06 16:34:58,9.495s,PASSED
"switch (""Result"")",,,,2019-11-06 16:34:58,2019-11-06 16:34:58,0.000s,PASSED
Start listener action : addFailedTCToList,,,,2019-11-06 16:34:58,2019-11-06 16:34:58,0.002s,PASSED
