Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Kalkulator,,,,2019-10-31 11:10:42,2019-10-31 11:11:55,1m - 12.612s,INCOMPLETE
,,,,,,,
Test Cases/Kalkulator/Kalkulator,,,,2019-10-31 11:10:43,2019-10-31 11:11:55,1m - 11.098s,PASSED
"startApplication(""C:/Users/Marvin/git/ACCBid-Mobile/accbid.apk"", false)",,,,2019-10-31 11:10:45,2019-10-31 11:11:24,38.643s,PASSED
"tap(findTestObject(""Kalkulator/BTN_Kalkulator""), 0)",,,,2019-10-31 11:11:24,2019-10-31 11:11:32,7.918s,PASSED
"setText(findTestObject(""Kalkulator/HargaUnit""), HargaUnit, 0)",,,,2019-10-31 11:11:32,2019-10-31 11:11:34,2.517s,PASSED
"if (varPeriode == ""12"")",,,,2019-10-31 11:11:34,2019-10-31 11:11:34,0.002s,PASSED
"else if (varPeriode == ""24"")",,,,2019-10-31 11:11:34,2019-10-31 11:11:34,0.000s,PASSED
"else if (varPeriode == ""36"")",,,,2019-10-31 11:11:34,2019-10-31 11:11:35,0.477s,PASSED
"setText(findTestObject(""Kalkulator/UangMuka""), UangMuka, 0)",,,,2019-10-31 11:11:35,2019-10-31 11:11:37,2.756s,PASSED
"tap(findTestObject(""Kalkulator/DropDownAreaPengajuan""), 0)",,,,2019-10-31 11:11:37,2019-10-31 11:11:41,3.377s,PASSED
"tap(findTestObject(""Kalkulator/Click"", [""text"":varAreaPengajuan]), 0)",,,,2019-10-31 11:11:41,2019-10-31 11:11:43,2.171s,PASSED
"ScrollUpDown.UpDown(86, 2185, 86, 2185)",,,,2019-10-31 11:11:43,2019-10-31 11:11:46,3.128s,PASSED
"tap(findTestObject(""Kalkulator/DropDownCabang""), 0)",,,,2019-10-31 11:11:46,2019-10-31 11:11:48,1.649s,PASSED
"tap(findTestObject(""Kalkulator/Click"", [""text"":varCabang]), 0)",,,,2019-10-31 11:11:48,2019-10-31 11:11:50,2.485s,PASSED
"if (varPembayaran == ""Tunai"")",,,,2019-10-31 11:11:50,2019-10-31 11:11:52,2.314s,PASSED
"if (varCreditProtection == ""Ya"")",,,,2019-10-31 11:11:53,2019-10-31 11:11:53,0.000s,PASSED
"else if (varCreditProtection == ""Tidak"")",,,,2019-10-31 11:11:53,2019-10-31 11:11:55,2.065s,PASSED
