Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Penarikan,,,,2019-11-14 09:06:16,2019-11-14 09:07:41,1m - 25.351s,PASSED
,,,,,,,
Test Cases/TopUP/Penarikan,,,,2019-11-14 09:06:17,2019-11-14 09:07:41,1m - 24.071s,PASSED
Start listener action : executeRows,,,,2019-11-14 09:06:18,2019-11-14 09:06:20,2.120s,PASSED
"startApplication(""C:/Users/Marvin/git/ACCBid-Mobile/accbid.apk"", false)",,,,2019-11-14 09:06:21,2019-11-14 09:07:01,39.808s,PASSED
"tap(findTestObject(""TopUP/BTN_Deposit""), 0)",,,,2019-11-14 09:07:01,2019-11-14 09:07:26,25.171s,PASSED
"if (JenisPenarikan == ""Astria"")",,,,2019-11-14 09:07:26,2019-11-14 09:07:26,0.002s,PASSED
"else if (JenisPenarikan == ""IBID"")",,,,2019-11-14 09:07:26,2019-11-14 09:07:41,14.927s,PASSED
Start listener action : addFailedTCToList,,,,2019-11-14 09:07:41,2019-11-14 09:07:41,0.000s,PASSED
