Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Kalkulator,,,,2019-11-07 08:20:57,2019-11-07 08:24:09,3m - 12.288s,INCOMPLETE
,,,,,,,
Test Cases/Kalkulator/Kalkulator,,,,2019-11-07 08:20:59,2019-11-07 08:22:21,1m - 21.916s,PASSED
Start listener action : executeRows,,,,2019-11-07 08:20:59,2019-11-07 08:21:01,2.216s,PASSED
"startApplication(""C:/Users/Marvin/git/ACCBid-Mobile/accbid.apk"", false)",,,,2019-11-07 08:21:03,2019-11-07 08:21:44,40.855s,PASSED
"tap(findTestObject(""Kalkulator/BTN_Kalkulator""), 0)",,,,2019-11-07 08:21:44,2019-11-07 08:21:51,7.816s,PASSED
"setText(findTestObject(""Kalkulator/HargaUnit""), HargaUnit, 0)",,,,2019-11-07 08:21:51,2019-11-07 08:21:54,2.990s,PASSED
"if (varPeriode == ""12"")",,,,2019-11-07 08:21:54,2019-11-07 08:21:54,0.036s,PASSED
"else if (varPeriode == ""24"")",,,,2019-11-07 08:21:54,2019-11-07 08:21:54,0.000s,PASSED
"else if (varPeriode == ""36"")",,,,2019-11-07 08:21:54,2019-11-07 08:21:55,0.365s,PASSED
"setText(findTestObject(""Kalkulator/UangMuka""), UangMukaPersen, 0)",,,,2019-11-07 08:21:55,2019-11-07 08:21:57,2.626s,PASSED
"if (verifyElementVisible(findTestObject(""Kalkulator/MinimalUangMuka""), 3, OPTIONAL))",,,,2019-11-07 08:21:57,2019-11-07 08:22:02,4.751s,PASSED
else,,,,2019-11-07 08:22:02,2019-11-07 08:22:21,18.503s,PASSED
"switch (""Result"")",,,,2019-11-07 08:22:21,2019-11-07 08:22:21,0.002s,PASSED
Start listener action : addFailedTCToList,,,,2019-11-07 08:22:21,2019-11-07 08:22:21,0.013s,PASSED
,,,,,,,
Test Cases/Kalkulator/Kalkulator,,,,2019-11-07 08:22:21,2019-11-07 08:24:09,1m - 48.207s,FAILED
Start listener action : executeRows,,,,2019-11-07 08:22:22,2019-11-07 08:22:22,0.221s,PASSED
"startApplication(""C:/Users/Marvin/git/ACCBid-Mobile/accbid.apk"", false)",,,,2019-11-07 08:22:22,2019-11-07 08:22:46,24.362s,PASSED
"tap(findTestObject(""Kalkulator/BTN_Kalkulator""), 0)",,,,2019-11-07 08:22:46,2019-11-07 08:22:58,11.695s,PASSED
"setText(findTestObject(""Kalkulator/HargaUnit""), HargaUnit, 0)",,,,2019-11-07 08:22:58,2019-11-07 08:23:01,3.114s,PASSED
"if (varPeriode == ""12"")",,,,2019-11-07 08:23:01,2019-11-07 08:23:01,0.000s,PASSED
"else if (varPeriode == ""24"")",,,,2019-11-07 08:23:01,2019-11-07 08:23:01,0.000s,PASSED
"else if (varPeriode == ""36"")",,,,2019-11-07 08:23:01,2019-11-07 08:23:01,0.000s,PASSED
"else if (varPeriode == ""48"")",,,,2019-11-07 08:23:01,2019-11-07 08:23:01,0.000s,PASSED
"else if (varPeriode == ""60"")",,,,2019-11-07 08:23:01,2019-11-07 08:23:01,0.388s,PASSED
"setText(findTestObject(""Kalkulator/UangMuka""), UangMukaPersen, 0)",,,,2019-11-07 08:23:01,2019-11-07 08:23:04,2.342s,PASSED
"if (verifyElementVisible(findTestObject(""Kalkulator/MinimalUangMuka""), 3, OPTIONAL))",,,,2019-11-07 08:23:04,2019-11-07 08:24:09,1m - 5.703s,PASSED
Start listener action : addFailedTCToList,,,,2019-11-07 08:24:09,2019-11-07 08:24:09,0.000s,PASSED
