Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TOPUP,,,,2019-11-06 11:22:53,2019-11-06 11:25:16,2m - 23.110s,INCOMPLETE
,,,,,,,
Test Cases/TopUP/TopUP,,,,2019-11-06 11:22:55,2019-11-06 11:24:25,1m - 30.814s,PASSED
Start listener action : executeRows,,,,2019-11-06 11:22:55,2019-11-06 11:22:57,2.171s,PASSED
"startApplication(""C:/Users/Marvin/git/ACCBid-Mobile/accbid.apk"", false)",,,,2019-11-06 11:22:58,2019-11-06 11:23:35,37.412s,PASSED
getDeviceHeight(),,,,2019-11-06 11:23:35,2019-11-06 11:23:37,1.187s,PASSED
getDeviceWidth(),,,,2019-11-06 11:23:37,2019-11-06 11:23:37,0.782s,PASSED
"tap(findTestObject(""TopUP/BTN_Deposit""), 0)",,,,2019-11-06 11:23:37,2019-11-06 11:23:44,6.823s,PASSED
"tap(findTestObject(""TopUP/Btn_TopUP""), 0)",,,,2019-11-06 11:23:44,2019-11-06 11:23:48,3.610s,PASSED
"setText(findTestObject(""TopUP/InputNominal""), varTopUP, 0)",,,,2019-11-06 11:23:48,2019-11-06 11:23:50,1.964s,PASSED
"tap(findTestObject(""TopUP/DropDownBank""), 0)",,,,2019-11-06 11:23:50,2019-11-06 11:23:52,2.200s,PASSED
"tap(findTestObject(""Kalkulator/Click"", [""text"":varBank]), 0)",,,,2019-11-06 11:23:52,2019-11-06 11:23:54,2.392s,PASSED
"if (verifyElementVisible(findTestObject(""TopUP/NotifKelipatan""), 3, OPTIONAL))",,,,2019-11-06 11:23:54,2019-11-06 11:23:59,5.102s,PASSED
else,,,,2019-11-06 11:23:59,2019-11-06 11:24:25,25.964s,PASSED
Start listener action : addFailedTCToList,,,,2019-11-06 11:24:25,2019-11-06 11:24:25,0.008s,PASSED
,,,,,,,
Test Cases/TopUP/TopUP,,,,2019-11-06 11:24:26,2019-11-06 11:25:16,50.762s,PASSED
Start listener action : executeRows,,,,2019-11-06 11:24:26,2019-11-06 11:24:26,0.128s,PASSED
"startApplication(""C:/Users/Marvin/git/ACCBid-Mobile/accbid.apk"", false)",,,,2019-11-06 11:24:26,2019-11-06 11:24:52,25.597s,PASSED
getDeviceHeight(),,,,2019-11-06 11:24:52,2019-11-06 11:24:53,1.068s,PASSED
getDeviceWidth(),,,,2019-11-06 11:24:53,2019-11-06 11:24:53,0.661s,PASSED
"tap(findTestObject(""TopUP/BTN_Deposit""), 0)",,,,2019-11-06 11:24:53,2019-11-06 11:24:58,4.707s,PASSED
"tap(findTestObject(""TopUP/Btn_TopUP""), 0)",,,,2019-11-06 11:24:58,2019-11-06 11:25:03,4.576s,PASSED
"setText(findTestObject(""TopUP/InputNominal""), varTopUP, 0)",,,,2019-11-06 11:25:03,2019-11-06 11:25:04,1.832s,PASSED
"tap(findTestObject(""TopUP/DropDownBank""), 0)",,,,2019-11-06 11:25:04,2019-11-06 11:25:06,1.918s,PASSED
"tap(findTestObject(""Kalkulator/Click"", [""text"":varBank]), 0)",,,,2019-11-06 11:25:06,2019-11-06 11:25:09,2.255s,PASSED
"if (verifyElementVisible(findTestObject(""TopUP/NotifKelipatan""), 3, OPTIONAL))",,,,2019-11-06 11:25:09,2019-11-06 11:25:16,7.843s,PASSED
Start listener action : addFailedTCToList,,,,2019-11-06 11:25:16,2019-11-06 11:25:16,0.002s,PASSED
