Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TOPUP,,,,2019-11-06 17:03:46,2019-11-06 17:06:20,2m - 33.938s,INCOMPLETE
,,,,,,,
Test Cases/TopUP/TopUP,,,,2019-11-06 17:03:47,2019-11-06 17:05:28,1m - 40.365s,PASSED
Start listener action : executeRows,,,,2019-11-06 17:03:47,2019-11-06 17:03:50,2.137s,PASSED
"startApplication(""C:/Users/Marvin/git/ACCBid-Mobile/accbid.apk"", false)",,,,2019-11-06 17:03:51,2019-11-06 17:04:38,47.464s,PASSED
getDeviceHeight(),,,,2019-11-06 17:04:38,2019-11-06 17:04:40,2.065s,PASSED
getDeviceWidth(),,,,2019-11-06 17:04:40,2019-11-06 17:04:41,0.906s,PASSED
"tap(findTestObject(""TopUP/BTN_Deposit""), 0)",,,,2019-11-06 17:04:41,2019-11-06 17:04:47,5.817s,PASSED
"tap(findTestObject(""TopUP/Btn_TopUP""), 0)",,,,2019-11-06 17:04:47,2019-11-06 17:04:51,4.181s,PASSED
"setText(findTestObject(""TopUP/InputNominal""), varTopUP, 0)",,,,2019-11-06 17:04:51,2019-11-06 17:04:53,1.950s,PASSED
"tap(findTestObject(""TopUP/DropDownBank""), 0)",,,,2019-11-06 17:04:53,2019-11-06 17:04:55,2.343s,PASSED
"tap(findTestObject(""Kalkulator/Click"", [""text"":varBank]), 0)",,,,2019-11-06 17:04:55,2019-11-06 17:04:58,2.528s,PASSED
"if (verifyElementVisible(findTestObject(""TopUP/NotifKelipatan""), 3, OPTIONAL))",,,,2019-11-06 17:04:58,2019-11-06 17:05:04,6.182s,PASSED
else,,,,2019-11-06 17:05:04,2019-11-06 17:05:28,23.586s,PASSED
"switch (""Result"")",,,,2019-11-06 17:05:28,2019-11-06 17:05:28,0.001s,PASSED
Start listener action : addFailedTCToList,,,,2019-11-06 17:05:28,2019-11-06 17:05:28,0.000s,PASSED
,,,,,,,
Test Cases/TopUP/TopUP,,,,2019-11-06 17:05:28,2019-11-06 17:06:20,51.990s,PASSED
Start listener action : executeRows,,,,2019-11-06 17:05:28,2019-11-06 17:05:28,0.127s,PASSED
"startApplication(""C:/Users/Marvin/git/ACCBid-Mobile/accbid.apk"", false)",,,,2019-11-06 17:05:28,2019-11-06 17:05:53,25.025s,PASSED
getDeviceHeight(),,,,2019-11-06 17:05:53,2019-11-06 17:05:54,0.633s,PASSED
getDeviceWidth(),,,,2019-11-06 17:05:54,2019-11-06 17:05:54,0.554s,PASSED
"tap(findTestObject(""TopUP/BTN_Deposit""), 0)",,,,2019-11-06 17:05:54,2019-11-06 17:06:02,7.346s,PASSED
"tap(findTestObject(""TopUP/Btn_TopUP""), 0)",,,,2019-11-06 17:06:02,2019-11-06 17:06:06,4.438s,PASSED
"setText(findTestObject(""TopUP/InputNominal""), varTopUP, 0)",,,,2019-11-06 17:06:06,2019-11-06 17:06:08,2.068s,PASSED
"tap(findTestObject(""TopUP/DropDownBank""), 0)",,,,2019-11-06 17:06:08,2019-11-06 17:06:10,2.005s,PASSED
"tap(findTestObject(""Kalkulator/Click"", [""text"":varBank]), 0)",,,,2019-11-06 17:06:10,2019-11-06 17:06:12,2.143s,PASSED
"if (verifyElementVisible(findTestObject(""TopUP/NotifKelipatan""), 3, OPTIONAL))",,,,2019-11-06 17:06:12,2019-11-06 17:06:20,7.483s,PASSED
"switch (""Result"")",,,,2019-11-06 17:06:20,2019-11-06 17:06:20,0.001s,PASSED
Start listener action : addFailedTCToList,,,,2019-11-06 17:06:20,2019-11-06 17:06:20,0.000s,PASSED
