Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Kalkulator,,,,2019-11-07 08:31:36,2019-11-07 08:33:41,2m - 4.497s,INCOMPLETE
,,,,,,,
Test Cases/Kalkulator/Kalkulator,,,,2019-11-07 08:31:38,2019-11-07 08:32:52,1m - 14.300s,PASSED
Start listener action : executeRows,,,,2019-11-07 08:31:38,2019-11-07 08:31:40,2.175s,PASSED
"startApplication(""C:/Users/Marvin/git/ACCBid-Mobile/accbid.apk"", false)",,,,2019-11-07 08:31:42,2019-11-07 08:32:16,34.480s,PASSED
"tap(findTestObject(""Kalkulator/BTN_Kalkulator""), 0)",,,,2019-11-07 08:32:16,2019-11-07 08:32:24,7.615s,PASSED
"setText(findTestObject(""Kalkulator/HargaUnit""), HargaUnit, 0)",,,,2019-11-07 08:32:24,2019-11-07 08:32:26,2.634s,PASSED
"if (varPeriode == ""12"")",,,,2019-11-07 08:32:26,2019-11-07 08:32:26,0.000s,PASSED
"else if (varPeriode == ""24"")",,,,2019-11-07 08:32:26,2019-11-07 08:32:26,0.002s,PASSED
"else if (varPeriode == ""36"")",,,,2019-11-07 08:32:26,2019-11-07 08:32:27,0.307s,PASSED
"setText(findTestObject(""Kalkulator/UangMuka""), UangMukaPersen, 0)",,,,2019-11-07 08:32:27,2019-11-07 08:32:29,2.662s,PASSED
"if (verifyElementVisible(findTestObject(""Kalkulator/MinimalUangMuka""), 3, OPTIONAL))",,,,2019-11-07 08:32:29,2019-11-07 08:32:34,4.711s,PASSED
else,,,,2019-11-07 08:32:34,2019-11-07 08:32:52,17.995s,PASSED
"switch (""Result"")",,,,2019-11-07 08:32:52,2019-11-07 08:32:52,0.000s,PASSED
Start listener action : addFailedTCToList,,,,2019-11-07 08:32:52,2019-11-07 08:32:52,0.000s,PASSED
,,,,,,,
Test Cases/Kalkulator/Kalkulator,,,,2019-11-07 08:32:53,2019-11-07 08:33:41,48.142s,PASSED
Start listener action : executeRows,,,,2019-11-07 08:32:53,2019-11-07 08:32:53,0.202s,PASSED
"startApplication(""C:/Users/Marvin/git/ACCBid-Mobile/accbid.apk"", false)",,,,2019-11-07 08:32:53,2019-11-07 08:33:16,23.339s,PASSED
"tap(findTestObject(""Kalkulator/BTN_Kalkulator""), 0)",,,,2019-11-07 08:33:16,2019-11-07 08:33:25,8.120s,PASSED
"setText(findTestObject(""Kalkulator/HargaUnit""), HargaUnit, 0)",,,,2019-11-07 08:33:25,2019-11-07 08:33:27,2.732s,PASSED
"if (varPeriode == ""12"")",,,,2019-11-07 08:33:27,2019-11-07 08:33:27,0.001s,PASSED
"else if (varPeriode == ""24"")",,,,2019-11-07 08:33:27,2019-11-07 08:33:27,0.000s,PASSED
"else if (varPeriode == ""36"")",,,,2019-11-07 08:33:27,2019-11-07 08:33:27,0.000s,PASSED
"else if (varPeriode == ""48"")",,,,2019-11-07 08:33:27,2019-11-07 08:33:27,0.000s,PASSED
"else if (varPeriode == ""60"")",,,,2019-11-07 08:33:27,2019-11-07 08:33:28,0.309s,PASSED
"setText(findTestObject(""Kalkulator/UangMuka""), UangMukaPersen, 0)",,,,2019-11-07 08:33:28,2019-11-07 08:33:31,3.289s,PASSED
"if (verifyElementVisible(findTestObject(""Kalkulator/MinimalUangMuka""), 3, OPTIONAL))",,,,2019-11-07 08:33:31,2019-11-07 08:33:41,9.856s,PASSED
"switch (""Result"")",,,,2019-11-07 08:33:41,2019-11-07 08:33:41,0.001s,PASSED
Start listener action : addFailedTCToList,,,,2019-11-07 08:33:41,2019-11-07 08:33:41,0.001s,PASSED
