Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Kalkulator,,,,2019-10-31 09:24:23,2019-10-31 09:25:20,57.149s,INCOMPLETE
,,,,,,,
Test Cases/Kalkulator/Kalkulator,,,,2019-10-31 09:24:25,2019-10-31 09:25:20,55.139s,ERROR
"startApplication(""C:/Users/Marvin/git/ACCBid-Mobile/accbid.apk"", false)",,,,2019-10-31 09:24:26,2019-10-31 09:25:01,34.324s,PASSED
"tap(findTestObject(""Kalkulator/BTN_Kalkulator""), 0)",,,,2019-10-31 09:25:01,2019-10-31 09:25:10,9.042s,PASSED
"setText(findTestObject(""Kalkulator/HargaUnit""), HargaUnit, 0)",,,,2019-10-31 09:25:10,2019-10-31 09:25:14,3.863s,PASSED
"if (varPeriode == ""12"")",,,,2019-10-31 09:25:14,2019-10-31 09:25:14,0.066s,PASSED
"else if (varPeriode == ""24"")",,,,2019-10-31 09:25:14,2019-10-31 09:25:14,0.001s,PASSED
"else if (varPeriode == ""36"")",,,,2019-10-31 09:25:14,2019-10-31 09:25:14,0.368s,PASSED
"setText(findTestObject(""Kalkulator/UangMuka""), UangMuka, 0)",,,,2019-10-31 09:25:14,2019-10-31 09:25:17,2.498s,PASSED
"tap(findTestObject(""Kalkulator/DropDownAreaPengajuan""), 0)",,,,2019-10-31 09:25:17,2019-10-31 09:25:20,3.012s,PASSED
"mobile.swiping.UpDown(86, 2185, 86, 2185)",,,,2019-10-31 09:25:20,2019-10-31 09:25:20,0.082s,ERROR
